,la_code,reporting_year,academic_year,region_code,region_name,la_name,pt_ks2_expectations,pt_ks4_expectations,avg_p8score,num_convictions,num_placed_inside_la,pt_convictions,pt_placed_inside_la,num_substance,num_private_provis,pt_substance,pt_private_provis,num_3_more_placemts,pt_3_more_placemts,inspection_date,ofsted_overall,ofsted_leaders,ofsted_help_protection,ofsted_care,cla_budget,number_in_care,number_in_care_filled,num_convictions_filled,num_placed_inside_la_filled,num_substance_filled,num_private_provis_filled,num_3_more_placemts_filled,pt_convictions_filled,pt_placed_inside_la_filled,pt_substance_filled,pt_private_provis_filled,pt_3_more_placemts_filled,pt_ks2_expectations_filled,pt_ks4_expectations_filled,avg_p8score_filled,per_child_spend,cla_budget_filled,ofsted_overall_filled,ofsted_leaders_filled,ofsted_care_filled,ofsted_help_protection_filled,budget_per_child
69,E10000031,2022,202122.0,E12000005,West Midlands,Warwickshire,27.0,23.3,-1.03,7.0,420.0,2.0,51.0,11.0,344.0,2.0,42.0,115.0,14.0,,,,,,53483.0,822.0,822.0,7.0,420.0,11.0,344.0,115.0,2.0,51.0,2.0,42.0,14.0,27.0,23.3,-1.03,65.06447688564477,53483.0,3.0,3.0,3.0,3.0,65.06447688564477
698,E06000037,2018,201718.0,E12000008,South East,West Berkshire,,,-1.25,,74.0,,51.0,8.0,40.0,8.0,28.0,12.0,8.0,,,,,,8114.0,145.0,145.0,3.0,74.0,8.0,40.0,12.0,2.0689655172413794,51.0,8.0,28.0,8.0,32.75,23.857142857142858,-1.25,55.95862068965517,8114.0,3.0,3.0,3.0,3.0,55.95862068965517
549,E06000037,2019,201819.0,E12000008,South East,West Berkshire,,,-1.65,,98.0,,57.0,,50.0,,29.0,17.0,10.0,,,,,,8968.0,171.0,171.0,1.0,98.0,6.0,50.0,17.0,0.5847953216374269,57.0,3.508771929824561,29.0,10.0,37.22222222222222,13.566666666666668,-1.65,52.44444444444444,8968.0,3.0,3.0,3.0,3.0,52.44444444444444
398,E06000037,2020,201920.0,E12000008,South East,West Berkshire,,42.1,,,84.0,,54.0,,50.0,,32.0,22.0,14.0,,,,,,10693.0,156.0,156.0,6.0,84.0,6.0,50.0,22.0,3.8461538461538463,54.0,3.8461538461538463,32.0,14.0,33.708333333333336,42.1,-1.326851851851852,68.5448717948718,10693.0,3.0,3.0,3.0,3.0,68.5448717948718
248,E06000037,2021,202021.0,E12000008,South East,West Berkshire,,,,,84.0,,58.0,,46.0,,32.0,17.0,12.0,,,,,,11652.0,146.0,146.0,1.0,84.0,6.0,46.0,17.0,0.684931506849315,58.0,4.10958904109589,32.0,12.0,33.708333333333336,30.585714285714285,-1.326851851851852,79.8082191780822,11652.0,3.0,3.0,3.0,3.0,79.8082191780822
98,E06000037,2022,202122.0,E12000008,South East,West Berkshire,,,-2.26,,96.0,,58.0,,44.0,,27.0,17.0,10.0,14/03/2022,3.0,3.0,3.0,3.0,11478.0,166.0,166.0,5.0,96.0,1.0,44.0,17.0,3.0120481927710845,58.0,0.6024096385542169,27.0,10.0,30.285714285714285,21.418181818181818,-2.26,69.144578313253,11478.0,3.0,3.0,3.0,3.0,69.144578313253
699,E10000032,2018,201718.0,E12000008,South East,West Sussex,,18.2,-0.96,17.0,542.0,5.0,77.0,37.0,243.0,8.0,35.0,101.0,14.0,,,,,,51217.0,704.0,704.0,17.0,542.0,37.0,243.0,101.0,5.0,77.0,8.0,35.0,14.0,32.75,18.2,-0.96,72.75142045454545,51217.0,2.0,3.0,3.0,2.0,72.75142045454545
550,E10000032,2019,201819.0,E12000008,South East,West Sussex,,13.2,-1.24,11.0,528.0,3.0,75.0,30.0,272.0,7.0,39.0,72.0,10.0,,,,,,55024.0,705.0,705.0,11.0,528.0,30.0,272.0,72.0,3.0,75.0,7.0,39.0,10.0,37.22222222222222,13.2,-1.24,78.0482269503546,55024.0,2.0,3.0,3.0,2.0,78.0482269503546
399,E10000032,2020,201920.0,E12000008,South East,West Sussex,,15.4,,15.0,585.0,4.0,73.0,46.0,348.0,10.0,43.0,94.0,12.0,,,,,,57937.0,806.0,806.0,15.0,585.0,46.0,348.0,94.0,4.0,73.0,10.0,43.0,12.0,33.708333333333336,15.4,-1.326851851851852,71.88213399503722,57937.0,2.0,3.0,3.0,2.0,71.88213399503722
249,E10000032,2021,202021.0,E12000008,South East,West Sussex,,39.2,,8.0,622.0,2.0,70.0,45.0,403.0,8.0,45.0,129.0,14.0,,,,,,72071.0,891.0,891.0,8.0,622.0,45.0,403.0,129.0,2.0,70.0,8.0,45.0,14.0,33.708333333333336,39.2,-1.326851851851852,80.88776655443323,72071.0,2.0,3.0,3.0,2.0,80.88776655443323
99,E10000032,2022,202122.0,E12000008,South East,West Sussex,24.0,16.2,-1.79,13.0,546.0,3.0,63.0,32.0,403.0,6.0,47.0,95.0,11.0,13/03/2023,2.0,3.0,2.0,3.0,83321.0,860.0,860.0,13.0,546.0,32.0,403.0,95.0,3.0,63.0,6.0,47.0,11.0,24.0,16.2,-1.79,96.88488372093023,83321.0,2.0,3.0,3.0,2.0,96.88488372093023
728,E09000033,2018,201718.0,E13000001,Inner London,Westminster,,,-1.47,6.0,34.0,7.0,17.0,,93.0,,46.0,18.0,9.0,,,,,,14035.0,204.0,204.0,6.0,34.0,6.0,93.0,18.0,7.0,17.0,2.941176470588235,46.0,9.0,42.75,17.75,-1.47,68.79901960784314,14035.0,4.0,4.0,4.0,4.0,68.79901960784314
579,E09000033,2019,201819.0,E13000001,Inner London,Westminster,,,-0.87,,28.0,,13.0,0.0,104.0,0.0,50.0,16.0,8.0,09/09/2019,4.0,4.0,4.0,4.0,13195.0,210.0,210.0,1.0,28.0,0.0,104.0,16.0,0.4761904761904762,13.0,0.0,50.0,8.0,40.75,24.71666666666667,-0.87,62.833333333333336,13195.0,4.0,4.0,4.0,4.0,62.833333333333336
430,E09000033,2020,201920.0,E13000001,Inner London,Westminster,,,,7.0,19.0,6.0,9.0,12.0,122.0,10.0,55.0,27.0,12.0,,,,,,14123.0,220.0,220.0,7.0,19.0,12.0,122.0,27.0,6.0,9.0,10.0,55.0,12.0,45.44444444444444,33.60909090909091,-1.3625714285714285,64.19545454545455,14123.0,4.0,4.0,4.0,4.0,64.19545454545455
279,E09000033,2021,202021.0,E13000001,Inner London,Westminster,,40.9,,,16.0,,10.0,21.0,88.0,17.0,53.0,9.0,5.0,,,,,,14545.0,166.0,166.0,6.0,16.0,21.0,88.0,9.0,3.614457831325301,10.0,17.0,53.0,5.0,45.44444444444444,40.9,-1.3625714285714285,87.62048192771084,14545.0,4.0,4.0,4.0,4.0,87.62048192771084
129,E09000033,2022,202122.0,E13000001,Inner London,Westminster,,,-1.61,,11.0,,6.0,9.0,81.0,9.0,48.0,,,,,,,,12024.0,170.0,170.0,4.0,11.0,9.0,81.0,4.0,2.3529411764705883,6.0,9.0,48.0,2.3529411764705883,75.0,28.875,-1.61,70.72941176470589,12024.0,4.0,4.0,4.0,4.0,70.72941176470589
632,E08000010,2018,201718.0,E12000002,North West,Wigan,30.0,,-1.72,10.0,364.0,4.0,76.0,14.0,69.0,4.0,14.0,68.0,14.0,,,,,,16033.0,479.0,479.0,10.0,364.0,14.0,69.0,68.0,4.0,76.0,4.0,14.0,14.0,30.0,22.027272727272727,-1.72,33.471816283924845,16033.0,2.0,2.0,2.0,2.0,33.471816283924845
483,E08000010,2019,201819.0,E12000002,North West,Wigan,24.0,,-2.0,,336.0,,75.0,15.0,68.0,4.0,15.0,50.0,11.0,,,,,,16007.0,448.0,448.0,6.0,336.0,15.0,68.0,50.0,1.3392857142857142,75.0,4.0,15.0,11.0,24.0,21.9375,-2.0,35.729910714285715,16007.0,2.0,2.0,2.0,2.0,35.729910714285715
332,E08000010,2020,201920.0,E12000002,North West,Wigan,,32.4,,,420.0,,79.0,23.0,94.0,7.0,18.0,58.0,11.0,,,,,,16374.0,534.0,534.0,2.0,420.0,23.0,94.0,58.0,0.37453183520599254,79.0,7.0,18.0,11.0,38.5,32.4,-1.376231884057971,30.662921348314608,16374.0,2.0,2.0,2.0,2.0,30.662921348314608
182,E08000010,2021,202021.0,E12000002,North West,Wigan,,23.9,,12.0,475.0,4.0,73.0,34.0,132.0,8.0,20.0,61.0,9.0,,,,,,16436.0,647.0,647.0,12.0,475.0,34.0,132.0,61.0,4.0,73.0,8.0,20.0,9.0,38.5,23.9,-1.376231884057971,25.40340030911901,16436.0,2.0,2.0,2.0,2.0,25.40340030911901
33,E08000010,2022,202122.0,E12000002,North West,Wigan,27.0,26.9,-1.34,6.0,418.0,2.0,68.0,42.0,178.0,9.0,29.0,65.0,11.0,09/05/2022,2.0,2.0,2.0,2.0,30032.0,614.0,614.0,6.0,418.0,42.0,178.0,65.0,2.0,68.0,9.0,29.0,11.0,27.0,26.9,-1.34,48.91205211726384,30032.0,2.0,2.0,2.0,2.0,48.91205211726384
714,E06000054,2018,201718.0,E12000009,South West,Wiltshire,42.0,18.6,-1.03,8.0,283.0,3.0,64.0,18.0,182.0,5.0,41.0,52.0,12.0,,,,,,32504.0,444.0,444.0,8.0,283.0,18.0,182.0,52.0,3.0,64.0,5.0,41.0,12.0,42.0,18.6,-1.03,73.2072072072072,32504.0,3.0,3.0,3.0,3.0,73.2072072072072
565,E06000054,2019,201819.0,E12000009,South West,Wiltshire,,18.2,-0.93,,281.0,,61.0,14.0,198.0,4.0,43.0,40.0,9.0,03/06/2019,3.0,3.0,3.0,3.0,33940.0,459.0,459.0,1.0,281.0,14.0,198.0,40.0,0.2178649237472767,61.0,4.0,43.0,9.0,35.75,18.2,-0.93,73.94335511982571,33940.0,3.0,3.0,3.0,3.0,73.94335511982571
416,E06000054,2020,201920.0,E12000009,South West,Wiltshire,,29.5,,,279.0,,61.0,22.0,203.0,7.0,44.0,49.0,11.0,,,,,,34881.0,458.0,458.0,4.0,279.0,22.0,203.0,49.0,0.8733624454148471,61.0,7.0,44.0,11.0,37.166666666666664,29.5,-1.333976528059097,76.1593886462882,34881.0,3.0,3.0,3.0,3.0,76.1593886462882
265,E06000054,2021,202021.0,E12000009,South West,Wiltshire,,,,0.0,270.0,0.0,65.0,16.0,172.0,5.0,41.0,27.0,6.0,,,,,,34217.0,417.0,417.0,0.0,270.0,16.0,172.0,27.0,0.0,65.0,5.0,41.0,6.0,37.166666666666664,31.327272727272728,-1.333976528059097,82.05515587529976,34217.0,3.0,3.0,3.0,3.0,82.05515587529976
115,E06000054,2022,202122.0,E12000009,South West,Wiltshire,,22.2,-0.54,,282.0,,66.0,18.0,158.0,6.0,37.0,39.0,9.0,,,,,,33911.0,426.0,426.0,2.0,282.0,18.0,158.0,39.0,0.4694835680751174,66.0,6.0,37.0,9.0,35.75,22.2,-0.54,79.60328638497653,33911.0,3.0,3.0,3.0,3.0,79.60328638497653
700,E06000040,2018,201718.0,E12000008,South East,Windsor and Maidenhead,,,-0.63,,35.0,,33.0,6.0,50.0,8.0,47.0,14.0,13.0,,,,,,7195.0,107.0,107.0,4.0,35.0,6.0,50.0,14.0,3.7383177570093453,33.0,8.0,47.0,13.0,32.75,23.857142857142858,-0.63,67.24299065420561,7195.0,3.0,3.0,2.0,3.0,67.24299065420561
